MiMoText Label (fr)	cultural pessimism	MiMoText Label (de)	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (en)	Wikidata Label (de)	Quelle
corps	body	Körper	Q170494	https://www.wikidata.org/wiki/Q170494	corps	body	Körper	DEL
correspondance	correspondence	Korrespondenz	Q1784733	https://www.wikidata.org/wiki/Q1784733	correspondance	correspondence	Korrespondenz	DEL
correspondance littéraire	epistolary novel	Briefroman	Q2250271	https://www.wikidata.org/wiki/Q2250271	Correspondance littéraire	Correspondance littéraire	Briefliteratur	DEL
cosmopolitisme	cosmopolitanism	Kosmopolitismus	Q188843	https://www.wikidata.org/wiki/Q188843	Cosmopolitisme	cosmopolitanism	Kosmopolitismus	DEL
couleur	color	Farbe	Q1075	https://www.wikidata.org/wiki/Q1075	couleur	color	Farbe	DEL
cour	court	Hof	Q1134237	https://www.wikidata.org/wiki/Q1134237	cour	court	Hofstaat	DEL
crime	crime	Verbrechen	Q83267	https://www.wikidata.org/wiki/Q83267	crime	crime	Verbrechen	Seklit
critique d'art	art criticism	Kunstkritik	Q1143847	https://www.wikidata.org/wiki/Q1143847	Critique d‘art	Art criticism	Kunstkritik	DEL
critique sociale	social criticism	Gesellschaftskritik		[ohne passende ID]				Seklit
culpabilité	guilt	Schuld	Q628939	https://www.wikidata.org/wiki/Q628939	culpabilité	guilt	Schuld	Seklit
culture populaire	popular culture	Populärkultur	Q131265	https://www.wikidata.org/wiki/Q131265	Culture populaire	Popular culture	Popkultur	DEL
curiosité	curiosity	Neugier	Q7167	https://www.wikidata.org/wiki/Q366791	curiosité	curiosity	Kolonialismus	DEL
Danemark	Denmark	Dänemark	Q35	https://www.wikidata.org/wiki/Q35	Danemark	denmark	Dänemark	DEL
danse	dance	Tanz	Q11639	https://www.wikidata.org/wiki/Q11639	Danse	dance	Tanz	DEL
décadence	decadence	Dekadenz	Q945895	https://www.wikidata.org/wiki/Q945895	décadence	decadence	Dekadenz	Seklit
déchristianisation	dechristianisation	Entchristianisierung	Q1344444	https://www.wikidata.org/wiki/Q1344444	déchristianisation	Dechristianisation of France during the French Revolution	Entchristianisierung	DEL
décoration	decoration	Orden	Q11796413	https://www.wikidata.org/wiki/Q11796413	décoration	decoration	Orden und Ehrenzeichen	DEL
déisme	deism	Deismus	Q620629	https://www.wikidata.org/wiki/Q620629	déisme	deism	Deismus	DEL
démocratie	democacy	Demokratie	Q7174	https://www.wikidata.org/wiki/Q7174	démocratie	democacy	Demokratie	Seklit
démographie	demography	Demografie	Q37732	https://www.wikidata.org/wiki/Q37732	démographie	demography	Demografie	DEL
dérision	mockery	Spott	Q25635316	https://www.wikidata.org/wiki/Q25635316	dérision	mockery	Spott	Seklit
dessin	drawing	Zeichnung	Q93184	https://www.wikidata.org/wiki/Q93184	Dessin	Drawing	Zeichnung	DEL
destin	destiny	Schicksal	Q216774	https://www.wikidata.org/wiki/Q216774	destin	destiny	Schicksal	Topic Modeling
deuil	mourning	Trauer	Q750652	https://www.wikidata.org/wiki/Q750652	deuil	mourning	Trauer	Seklit
devoir	duty	Pflicht	Q878070	https://www.wikidata.org/wiki/Q878070	devoir	duty	Pflicht	Seklit
