DEL komplett + Topic Modeling	Wikidata Ids (zu DEL-Begriffen)	Wikidata URLs	Wikidata Label (fr)	Wikidata Label (de)	Wikidata Label (en)
"minéralogie "	Q83353	https://www.wikidata.org/wiki/Q83353	"minéralogie "	Mineralogie	mineralogy
"Mobilier "	Q14745	https://www.wikidata.org/wiki/Q14745	mobilier	Möbel	furniture
mœurs	Q1115221	https://www.wikidata.org/wiki/Q1115221	mœurs	Sitte	mores
monade	Q12370437	https://www.wikidata.org/wiki/Q12370437	monade	Monade	monad
monstruosité	Q276453	https://www.wikidata.org/wiki/Q276453	monstruosité	Monster	monster
"montagne "	Q8502	https://www.wikidata.org/wiki/Q8502	montagne	Berg	mountain
"montgolfière "	Q1551574	https://www.wikidata.org/wiki/Q1551574	"montgolfière "	Heißluftballon	"hot air balloon "
"Monument "	Q4989906	https://www.wikidata.org/wiki/Q4989906	monument	Denkmal	monument
morale	Q48324	https://www.wikidata.org/wiki/Q48324	morale	Moral	morality
"mort "	Q4	https://www.wikidata.org/wiki/Q4	mort	Tod	death
"musée "	Q33506	https://www.wikidata.org/wiki/Q33506	"musée "	Museum	museum
"musique "	Q638	https://www.wikidata.org/wiki/Q638	musique	Musik	music
mystique	Q45996	https://www.wikidata.org/wiki/Q45996	mystique	Mystik	mysticism
mythologie	Q9134	https://www.wikidata.org/wiki/Q9134	mythologie	Mythologie	mythology
"nation "	Q6266	https://www.wikidata.org/wiki/Q6266	nation	Nation	nation
"nature "	Q7860	https://www.wikidata.org/wiki/Q7860	nature	Natur	nature
nécessité	Q2301186	https://www.wikidata.org/wiki/Q2301186	nécessité	Notwendigkeit	necessity
"néo-classicisme "	Q14378	https://www.wikidata.org/wiki/Q14378	"néo-classicisme "	Klassizismus	neoclassicism
"newtonianisme "	Q17123497	https://www.wikidata.org/wiki/Q17123497	newtonisme		Newtonianism
"noblesse "	Q134737	https://www.wikidata.org/wiki/Q134737	noblesse	Adel	nobility
"nuit "	Q575	https://www.wikidata.org/wiki/Q575	nuit	Nacht	night
observatoire	Q62832	https://www.wikidata.org/wiki/Q62832	observatoire	Observatorium	observatory
"opéra "	Q1344	https://www.wikidata.org/wiki/Q1344	"opéra "	Oper	opera
optimisme	Q485446	https://www.wikidata.org/wiki/Q485446	optimisme	Optimismus	optimism
pessimisme	Q484954	https://www.wikidata.org/wiki/Q484954	pessimisme	Pessimismus	pessimism
optique	Q14620	https://www.wikidata.org/wiki/Q14620	optique	Optik	optics
"oorganisation "	Q43229	https://www.wikidata.org/wiki/Q43229	Organisation	Organisation	organization
"orientalisme "	Q42865	https://www.wikidata.org/wiki/Q42865	orientalisme	Orientalismus	Orientalism
Orient	Q205653	https://www.wikidata.org/wiki/Q205653	orient	Orient	orient
