				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
Bero	Bero	Bero					Bero	Bero	Bero	BGRF							
Brampour	Brampour	Brampour					Brampour	Brampour	Brampour	BGRF							
L’Oxus	L’Oxus	L’Oxus					L’Oxus	L’Oxus	L’Oxus	BGRF							
Dujardin	Dujardin	Dujardin					Dujardin	Dujardin	Dujardin	BGRF							
Ellivenul	Ellivenul	Ellivenul					Ellivenul	Ellivenul	Ellivenul	BGRF							
Eutaxie	Eutaxie	Eutaxie					Eutaxie	Eutaxie	Eutaxie	BGRF							
Fanfan	Fanfan	Fanfan					Fanfan	Fanfan	Fanfan	BGRF							
Femey	Femey	Femey					Femey	Femey	Femey	BGRF							
Isaphan	Isaphan	Isaphan					Isaphan	Isaphan	Isaphan	BGRF							
Isscdon	Isscdon	Isscdon					Isscdon	Isscdon	Isscdon	BGRF							
La-llaie	La-llaie	La-llaie					La-llaie	La-llaie	La-llaie	BGRF							
Lemierre	Lemierre	Lemierre					Lemierre	Lemierre	Lemierre	BGRF							
Lombard	Lombard	Lombard					Lombard	Lombard	Lombard	BGRF							
Merkus	Merkus	Merkus					Merkus	Merkus	Merkus	BGRF							
Saint-Cyr	Saint-Cyr	Saint-Cyr					Saint-Cyr	Saint-Cyr	Saint-Cyr	BGRF							
Sindif	Sindif	Sindif					Sindif	Sindif	Sindif	BGRF							
Tempé	Tempé	Tempé					Tempé	Tempé	Tempé	BGRF							
Tils	Tils	Tils					Tils	Tils	Tils	BGRF							
Vemeuil	Vemeuil	Vemeuil					Vemeuil	Vemeuil	Vemeuil	BGRF							
Venepole	Venepole	Venepole					Venepole	Venepole	Venepole	BGRF							
Versoy	Versoy	Versoy					Versoy	Versoy	Versoy	BGRF							
Villemanie	Villemanie	Villemanie					Villemanie	Villemanie	Villemanie	BGRF							
Villeneuve	Villeneuve	Villeneuve					Villeneuve	Villeneuve	Villeneuve	BGRF							
Yorck	Yorck	Yorck					Yorck	Yorck	Yorck	BGRF							
bureau de poste	post office	Postfiliale	Q35054 	https://www.wikidata.org/wiki/Q35054 			bureau de poste	post office	Postfiliale	BGRF							
rempart	rampart	Wallanlage	Q1416685 	https://www.wikidata.org/wiki/Q1416685 			rempart	rampart	Wallanlage	BGRF							
atmosphère terrestre	atmosphere of Earth	Erdatmosphäre	Q3230 	https://www.wikidata.org/wiki/Q3230 			atmosphère terrestre	atmosphere of Earth	Erdatmosphäre	BGRF							
Astérie	Astérie	Astérie					Astérie	Astérie	Astérie	BGRF							
Boétie	Boétie	Boétie					Boétie	Boétie	Boétie	BGRF							
Camédris	Camédris	Camédris					Camédris	Camédris	Camédris	BGRF							
Eraste 	Eraste 	Eraste 					Eraste 	Eraste 	Eraste 	BGRF							
France-Australe	France-Australe	France-Australe					France-Australe	France-Australe	France-Australe	BGRF							
Guiane	Guiane	Guiane					Guiane	Guiane	Guiane	BGRF							
Jaccio	Jaccio	Jaccio					Jaccio	Jaccio	Jaccio	BGRF							
Laurence 	Laurence 	Laurence 					Laurence 	Laurence 	Laurence 	BGRF							
Médie 	Médie 	Médie 					Médie 	Médie 	Médie 	BGRF							
Pans	Pans	Pans					Pans	Pans	Pans	BGRF							
Parnasse	Parnasse	Parnasse					Parnasse	Parnasse	Parnasse	BGRF							
Saint-Cyran 	Saint-Cyran 	Saint-Cyran 					Saint-Cyran 	Saint-Cyran 	Saint-Cyran 	BGRF							
Sanfrein 	Sanfrein 	Sanfrein 					Sanfrein 	Sanfrein 	Sanfrein 	BGRF							
Sinaclée 	Sinaclée 	Sinaclée 					Sinaclée 	Sinaclée 	Sinaclée 	BGRF							
Téluce 	Téluce 	Téluce 					Téluce 	Téluce 	Téluce 	BGRF							
Thibet 	Thibet 	Thibet 					Thibet 	Thibet 	Thibet 	BGRF							
Vera-Cruz 	Vera-Cruz 	Vera-Cruz 					Vera-Cruz 	Vera-Cruz 	Vera-Cruz 	BGRF							
Alicante	Alicante	Alicante	Q11959 		https://www.wikidata.org/wiki/Q11959 	38.345277777778,-0.48305555555556	Alicante	Alicante	Alicante	BGRF							
Alpes italiennes	Italian Alps	Italienische Alpen	Q3509494 		https://www.wikidata.org/wiki/Q3509494 		Alpes italiennes	Italian Alps	Italienische Alpen	BGRF							
Ardenne	Ardennes	Ardennen	Q151985 		https://www.wikidata.org/wiki/Q151985 	50.25,5.6666666666667	Ardenne	Ardennes	Ardennen	BGRF							
Champagne	Champagne	Champagne	Q273827 		https://www.wikidata.org/wiki/Q273827 	49,4	Champagne	Champagne	Champagne	BGRF							
Guyenne	Guyenne	Guyenne	Q849324 		https://www.wikidata.org/wiki/Q849324 	43.977,-0.176	Guyenne	Guyenne	Guyenne	BGRF							
Hesse	Hesse	Hessen	Q1199 		https://www.wikidata.org/wiki/Q1199 	50.60802777777778,9.028472222222222	Hesse	Hesse	Hessen	BGRF							
Léman	Lake Geneva	Genfersee	Q6403 		https://www.wikidata.org/wiki/Q6403 	46.433333333333,6.55	Léman	Lake Geneva	Genfersee	BGRF							
Louisiane	Louisiana	Louisiana	Q1588 		https://www.wikidata.org/wiki/Q1588 	31,-92	Louisiane	Louisiana	Louisiana	BGRF							
Palatinat rhénan	Palatinate	Pfalz	Q326359 		https://www.wikidata.org/wiki/Q326359 	49.5,8.016669444444444	Palatinat rhénan	Palatinate	Pfalz	BGRF							
Pescia	Pescia	Pescia	Q18493366		https://www.wikidata.org/wiki/Q18493366	42.68505,13.15714	Pescia	Pescia	Pescia	BGRF							
Suriname	Surinam	Suriname	Q7646305 		https://www.wikidata.org/wiki/Q7646305 		Suriname	Surinam	Suriname	BGRF							
Thèbe	Thebe	Theben	Q2723626 		https://www.wikidata.org/wiki/Q2723626 	39.5833,27	Thèbe	Thebe	Theben	BGRF							
Vérone	Verona	Verona	Q2028		https://www.wikidata.org/wiki/Q2028	45.43861111111111,10.992777777777778	Vérone	Verona	Verona	BGRF							
Vosges	Vosges	Département Vosges	Q3105		https://www.wikidata.org/wiki/Q3105	48.166666666667,6.4166666666667	Vosges	Vosges	Département Vosges	BGRF							
