				P8	P52	P59	FR	EN	DE						P25	P2	P2RP14
Buenos Aires	Buenos Aires	Buenos Aires	Q1486	https://www.wikidata.org/wiki/Q1486		-34.599722222222,-58.381944444444	Buenos Aires	Buenos Aires	Buenos Aires								
Afrique	Africa	Afrika	Q15	https://www.wikidata.org/wiki/Q15		21.09375,7.1881	Afrique	Africa	Afrika	DEL	exact match						
Franconie	Franconia	Franken	Q150907	https://www.wikidata.org/wiki/Q150907		49.816,10.865	Franconie	Franconia	Franken								
Dauphiné	Dauphiné	Dauphiné	Q151999	https://www.wikidata.org/wiki/Q151999		45.383333333333,5.7333333333333	Dauphiné	Dauphiné	Dauphiné								
Athènes	Athens	Athen	Q1524	https://www.wikidata.org/wiki/Q1524		37.98416666666667,23.728055555555557	Athènes	Athens	Athen								
Bagdad	Baghdad	Bagdad	Q1530	https://www.wikidata.org/wiki/Q1530		33.35,44.416666666667	Bagdad	Baghdad	Bagdad								
opéra	opera house	Opernhaus	Q153562	https://www.wikidata.org/wiki/Q153562			opéra	opera house	Opernhaus								
Roussillon	Rosselló	Rosselló	Q15476	https://www.wikidata.org/wiki/Q15476		42.666666666667,2.8166666666667	Roussillon	Rosselló	Rosselló								
Cadix	Cádiz	Cádiz	Q15682	https://www.wikidata.org/wiki/Q15682		36.535,-6.2975	Cadix	Cádiz	Cádiz								
Normandie	Normandy	Normandie	Q15878	https://www.wikidata.org/wiki/Q15878		49.12233911111111,-0.43664430555555556	Normandie	Normandy	Normandie								
Russie	Russia	Russland	Q159	https://www.wikidata.org/wiki/Q159		66.41666666666667,94.25	Russie	Russia	Russland	DEL	exact match						
Canada	Canada	Kanada	Q16	https://www.wikidata.org/wiki/Q16		56,-109	Canada	Canada	Kanada								
Saint-Malo	Saint-Malo	Saint-Malo	Q163108	https://www.wikidata.org/wiki/Q163108		48.647222222222,-2.0088888888889	Saint-Malo	Saint-Malo	Saint-Malo								
Chambéry	Chambéry	Chambéry	Q165090	https://www.wikidata.org/wiki/Q165090		45.566388888889,5.9208333333333	Chambéry	Chambéry	Chambéry								
Danube	Danube	Donau	Q1653	https://www.wikidata.org/wiki/Q1653		45.221944444444446,29.743333333333332	Danube	Danube	Donau								
palais	palace	Palast	Q16560	https://www.wikidata.org/wiki/Q16560			palais	palace	Palast								
Canton	Guangzhou	Guangzhou	Q16572	https://www.wikidata.org/wiki/Q16572		23.128795,113.258976	Canton	Guangzhou	Guangzhou								
Antilles	Antilles	Antillen	Q166131	https://www.wikidata.org/wiki/Q166131		18.2176,-67.8639	Antilles	Antilles	Antillen								
Thessalie	Thessalia	Thessalien	Q166919	https://www.wikidata.org/wiki/Q166919		39.6,22.2	Thessalie	Thessalia	Thessalien								
Auxerre	Auxerre	Auxerre	Q167600	https://www.wikidata.org/wiki/Q167600		47.7975,3.5669444444444	Auxerre	Auxerre	Auxerre								
Anglesey	Anglesey	Anglesey	Q168159	https://www.wikidata.org/wiki/Q168159		53.293975,-4.376728	Anglesey	Anglesey	Anglesey								
Constantinople	Constantinople	Konstantinopel	Q16869	https://www.wikidata.org/wiki/Q16869		41.01224,28.976018	Constantinople	Constantinople	Konstantinopel								
hôpital	hospital	Krankenhaus	Q16917	https://www.wikidata.org/wiki/Q16917			hôpital	hospital	Krankenhaus	DEL	exact match						
Milet	Miletus	Milet	Q169460	https://www.wikidata.org/wiki/Q169460		37.531111,27.275556	Milet	Miletus	Milet								
Japon	Japan	Japan	Q17	https://www.wikidata.org/wiki/Q17		35,136	Japon	Japan	Japan	DEL	exact match						
Martinique	Martinique	Martinique	Q17054	https://www.wikidata.org/wiki/Q17054		14.65,-61.015	Martinique	Martinique	Martinique								
Royaume houéda	Kingdom of Whydah	Sahé	Q1716449	https://www.wikidata.org/wiki/Q1716449			Royaume houéda	Kingdom of Whydah	Sahé								
Castille	Castile	Kastilien	Q173063	https://www.wikidata.org/wiki/Q173063		42.35,-3.81666667	Castille	Castile	Kastilien								
Vienne	Vienna	Wien	Q1741	https://www.wikidata.org/wiki/Q1741		48.20833,16.373064	Vienne	Vienna	Wien								
Rome antique	Ancient Rome	Römisches Reich	Q1747689	https://www.wikidata.org/wiki/Q1747689		41.89,12.48	Rome antique	Ancient Rome	Römisches Reich								
Copenhague	Copenhagen	Kopenhagen	Q1748	https://www.wikidata.org/wiki/Q1748		55.676111111111,12.568888888889	Copenhague	Copenhagen	Kopenhagen								
campagne	rural area	ländlicher Raum	Q175185	https://www.wikidata.org/wiki/Q175185			campagne	rural area	ländlicher Raum								
Dublin	Dublin	Dublin	Q1761	https://www.wikidata.org/wiki/Q1761		53.34972222222222,-6.260277777777778	Dublin	Dublin	Dublin								
Jura	Jura Mountains	Jura	Q178611	https://www.wikidata.org/wiki/Q178611		47.2431,6.0219	Jura	Jura Mountains	Jura								
Francfort-sur-le-Main	Frankfurt	Frankfurt am Main	Q1794	https://www.wikidata.org/wiki/Q1794		50.113611111111,8.6797222222222	Francfort-sur-le-Main	Frankfurt	Frankfurt am Main								
Amérique du Sud	South America	Südamerika	Q18	https://www.wikidata.org/wiki/Q18		-21,-59	Amérique du Sud	South America	Südamerika	Seklit.	exact match						
Compiègne	Compiègne	Compiègne	Q180871	https://www.wikidata.org/wiki/Q180871		49.414166666667,2.8222222222222	Compiègne	Compiègne	Compiègne								
Paphos	Paphos	Paphos	Q180918	https://www.wikidata.org/wiki/Q180918		34.77612852,32.42651039	Paphos	Paphos	Paphos								
Corée	Korea	Korea	Q18097	https://www.wikidata.org/wiki/Q18097		38.316666666667,127.23333333333	Corée	Korea	Korea								
Alençon	Alençon	Alençon	Q181269	https://www.wikidata.org/wiki/Q181269		48.429722222222,0.091944444444444	Alençon	Alençon	Alençon								
Fontainebleau	Fontainebleau	Fontainebleau	Q182872	https://www.wikidata.org/wiki/Q182872		48.408888888889,2.7016666666667	Fontainebleau	Fontainebleau	Fontainebleau								
Allemagne	Germany	Deutschland	Q183	https://www.wikidata.org/wiki/Q183		51,1	Allemagne	Germany	Deutschland	DEL	exact match						
Livonie	Livonia	Livland	Q183464	https://www.wikidata.org/wiki/Q183464		57.862234,25.967155	Livonie	Livonia	Livland								
Mytilène	Mytilene	Mytilini	Q189059	https://www.wikidata.org/wiki/Q189059		39.103611111111,26.533055555556	Mytilène	Mytilene	Mytilini								
Bologne	Bologna	Bologna	Q1891	https://www.wikidata.org/wiki/Q1891		44.493888888889,11.342777777778	Bologne	Bologna	Bologna								
Saint-Cloud	Saint-Cloud	Saint-Cloud	Q189153	https://www.wikidata.org/wiki/Q189153		48.846388888889,2.2152777777778	Saint-Cloud	Saint-Cloud	Saint-Cloud								
Silvérie			Q19232000	https://www.wikidata.org/wiki/Q19232000			Silvérie										
Saturne	Saturn	Saturn	Q193	https://www.wikidata.org/wiki/Q193			Saturne	Saturn	Saturn								
Saumur	Saumur	Saumur	Q193821	https://www.wikidata.org/wiki/Q193821		47.259166666667,-0.078055555555556	Saumur	Saumur	Saumur								
Suresnes	Suresnes	Suresnes	Q193929	https://www.wikidata.org/wiki/Q193929		48.871111111111,2.2269444444444	Suresnes	Suresnes	Suresnes								
Chinon	Chinon	Chinon	Q194138	https://www.wikidata.org/wiki/Q194138		47.166944444444,0.24277777777778	Chinon	Chinon	Chinon								
Terre	Earth	Erde	Q2	https://www.wikidata.org/wiki/Q2			Terre	Earth	Erde	DEL	exact match						
Norvège	Norway	Norwegen	Q20	https://www.wikidata.org/wiki/Q20		65,11	Norvège	Norway	Norwegen								
Ouessant	Ushant	Ouessant	Q202378	https://www.wikidata.org/wiki/Q202378		48.455277777778,-5.0975	Ouessant	Ushant	Ouessant								
Samarah	Samarah	Samarah	Q20306954	https://www.wikidata.org/wiki/Q20306954		16.139722222222,43.151944444444	Samarah	Samarah	Samarah								
Florence	Florence	Florenz	Q2044	https://www.wikidata.org/wiki/Q2044		43.771388888889,11.254166666667	Florence	Florence	Florenz								
Cuzco	Cusco Departament	Cusco	Q205057	https://www.wikidata.org/wiki/Q205057		-13.26,-72.11	Cuzco	Cusco Departament	Cusco								
Orient	Orient	Orient	Q205653	https://www.wikidata.org/wiki/Q205653			Orient	Orient	Orient	BGRF/DEL	exact match						
Languedoc	Languedoc	Languedoc	Q206221	https://www.wikidata.org/wiki/Q206221		43.666666666667,3.1666666666667	Languedoc	Languedoc	Languedoc								
atelier d'artiste	atelier	Atelier	Q2072285	https://www.wikidata.org/wiki/Q2072285			atelier d'artiste	atelier	Atelier	DEL	exact match						
Cythère	Kythira	Kythira	Q207239	https://www.wikidata.org/wiki/Q207239		36.2575,22.9975	Cythère	Kythira	Kythira								
Leipzig	Leipzig	Leipzig	Q2079	https://www.wikidata.org/wiki/Q2079		51.333333333333,12.383333333333	Leipzig	Leipzig	Leipzig								
bois de Boulogne	Bois de Boulogne	Bois de Boulogne	Q209626	https://www.wikidata.org/wiki/Q209626		48.864722222222,2.2508333333333	bois de Boulogne	Bois de Boulogne	Bois de Boulogne								
Angleterre	England	England	Q21	https://www.wikidata.org/wiki/Q21		53,-1	Angleterre	England	England	BGRF/DEL	exact match						
Stainville	Stainville	Stainville	Q210672	https://www.wikidata.org/wiki/Q210672		48.653611111111,5.1855555555556	Stainville	Stainville	Stainville								
Hortence	Hortence	Hortence	Q21144570	https://www.wikidata.org/wiki/Q21144570			Hortence	Hortence	Hortence								
Mannheim	Mannheim	Mannheim	Q2119	https://www.wikidata.org/wiki/Q2119		49.48777777777778,8.466111111111111	Mannheim	Mannheim	Mannheim								
